"Add Sitemap","Agregar un mapa del sitio"
"Yearly","Anualmente"
"Hourly","Cada hora"
"Generation Settings","Configuraciones de generación"
"Daily","Diariamente"
"Edit Sitemap","Editar el mapa del sitio"
"Sitemap was successfully deleted","El mapa del sitio fue borrado con éxito"
"Sitemap was successfully saved","El mapa del sitio fue guardado con éxito"
"Sitemap generate Warnings","El mapa del sitio genera advertencias"
"Link for Google","Enlace para Google"
"Error Email Recipient","Error en el correo electrónico del recipiente"
"Error Email Sender","Error en el correo electrónico del remitente"
"Error Email Template","Error en la plantilla de correo"
"This sitemap no longer exists","Este mapa del sitio ya no existe"
"Frequency","Frecuencia"
"Google Sitemaps","Google Sitemaps"
"Enabled","Habilitado"
"Start Time","Hora de inicio"
"ID","ID"
"Priority must be between 0 and 1","La prioridad debe ser un valor entre 0 y 1"
"Manage Google Sitemaps","Manage Google Sitemaps"
"Sitemap","Mapa del sitio"
"Google Sitemap","Mapa del sitio Google"
"Monthly","Mensualmente"
"Unable to find a sitemap to delete","No se pudo encontrar el mapa del sitio para borrar"
"Filename","Nombre del archivo"
"New Sitemap","Nuevo mapa del sitio"
"Never","Nunca"
"Categories Options","Opciones para las categorías"
"CMS Pages Options","Opciones para las páginas CMS"
"Products Options","Opciones para los productos"
"Priority","Prioridad"
"Path","Ruta"
"Weekly","Semanalmente"
"Always","Siempre"
"Last Time Generated","Ultima vez que se generó"
"Store View","Vista de la tienda"
